Gene stable ID,Transcript stable ID
PBANKA_090500,CDS46527
PBANKA_090510,CDS46528
PBANKA_090520,CDS46529
PBANKA_090530,CDS46530
PBANKA_090540,CDS46531
PBANKA_090550,CDS46532
PBANKA_090560,CDS46533
PBANKA_090570,CDS46534
PBANKA_090580,CDS46535
PBANKA_090590,CDS46536
PBANKA_090600,CDS46537
PBANKA_090610,CDS46538
PBANKA_090620,CDS46539
PBANKA_090630,CDS46540
PBANKA_090640,CDS46541
PBANKA_090650,CDS46542
PBANKA_090660,CDS46543
PBANKA_090670,CDS46544
PBANKA_090680,CDS46545
PBANKA_090690,CDS46546
PBANKA_090700,CDS46547
PBANKA_090710,CDS46548
PBANKA_090720,CDS46549
PBANKA_090730,CDS46550
PBANKA_090740,CDS46551
PBANKA_090750,CDS46552
PBANKA_090760,CDS46553
PBANKA_090770,CDS46554
PBANKA_090780,CDS46555
PBANKA_090790,CDS46556
PBANKA_090800,CDS46557
PBANKA_090810,CDS46558
PBANKA_090820,CDS46559
PBANKA_090830,CDS46560
PBANKA_090840,CDS46561
PBANKA_090850,CDS46562
PBANKA_090860,CDS46563
PBANKA_090870,CDS46564
PBANKA_090880,CDS46565
PBANKA_090890,CDS46566
PBANKA_090900,CDS46567
PBANKA_090910,CDS46568
PBANKA_090920,CDS46569
PBANKA_090930,CDS46570
PBANKA_090940,CDS46571
PBANKA_090950,CDS46572
PBANKA_090960,CDS46573
PBANKA_090970,CDS46574
PBANKA_090980,CDS46575
PBANKA_090990,CDS46576
PBANKA_091000,CDS46577
PBANKA_091010,CDS46578
PBANKA_091020,CDS46579
PBANKA_091030,CDS46580
PBANKA_091040,CDS46581
PBANKA_091050,CDS46582
PBANKA_091060,CDS46583
PBANKA_091070,CDS46584
PBANKA_091080,CDS46585
PBANKA_091090,CDS46586
PBANKA_091100,CDS46587
PBANKA_091110,CDS46588
PBANKA_091120,CDS46589
PBANKA_091130,CDS46590
PBANKA_091140,CDS46591
PBANKA_091150,CDS46592
PBANKA_091160,CDS46593
PBANKA_091170,CDS46594
PBANKA_091180,CDS46595
PBANKA_091190,CDS46596
PBANKA_091200,CDS46597
PBANKA_091210,CDS46598
PBANKA_091220,CDS46599
PBANKA_091230,CDS46600
PBANKA_091240,CDS46601
PBANKA_091250,CDS46602
PBANKA_091260,CDS46603
PBANKA_091270,CDS46604
PBANKA_091280,CDS46605
PBANKA_091290,CDS46606
PBANKA_091300,CDS46607
PBANKA_091310,CDS46608
PBANKA_091320,CDS46609
PBANKA_091330,CDS46610
PBANKA_091340,CDS46611
PBANKA_091350,CDS46612
PBANKA_091360,CDS46613
PBANKA_091370,CDS46614
PBANKA_091380,CDS46615
PBANKA_091390,CDS46616
PBANKA_091400,CDS46617
PBANKA_091410,CDS46618
PBANKA_091420,CDS46619
PBANKA_091430,CDS46620
PBANKA_091440,CDS46621
PBANKA_091450,CDS46622
PBANKA_091460,CDS46623
PBANKA_091470,CDS46624
PBANKA_091480,CDS46625
PBANKA_091490,CDS46626
PBANKA_091500,CDS46627
PBANKA_091510,CDS46628
PBANKA_091520,CDS46629
PBANKA_091530,CDS46630
PBANKA_091540,CDS46631
PBANKA_091550,CDS46632
PBANKA_091560,CDS46633
PBANKA_091570,CDS46634
PBANKA_091580,CDS46635
PBANKA_091590,CDS46636
PBANKA_091600,CDS46637
PBANKA_091610,CDS46638
PBANKA_091620,CDS46639
PBANKA_091630,CDS46640
PBANKA_091640,CDS46641
PBANKA_091650,CDS46642
PBANKA_091660,CDS46643
PBANKA_091665,CDS46644
PBANKA_091670,CDS46645
PBANKA_091680,CDS46646
PBANKA_091690,CDS46647
PBANKA_091700,CDS46648
PBANKA_091710,CDS46649
PBANKA_091720,CDS46650
PBANKA_091730,CDS46651
PBANKA_091740,CDS46652
PBANKA_091750,CDS46653
PBANKA_091760,CDS46654
PBANKA_091770,CDS46655
PBANKA_091780,CDS46656
PBANKA_091790,CDS46657
PBANKA_091800,CDS46658
PBANKA_091810,CDS46659
PBANKA_091820,CDS46660
PBANKA_091830,CDS46661
PBANKA_091840,CDS46662
PBANKA_091850,CDS46663
PBANKA_091860,CDS46664
PBANKA_091870,CDS46665
PBANKA_091880,CDS46666
PBANKA_091890,CDS46667
PBANKA_091900,CDS46668
PBANKA_091910,CDS46669
PBANKA_091920,CDS46670
PBANKA_091930,CDS46671
PBANKA_091940,CDS46672
PBANKA_091950,CDS46673
PBANKA_091960,CDS46674
PBANKA_091970,CDS46675
PBANKA_091980,CDS46676
PBANKA_091990,CDS46677
PBANKA_092000,CDS46678
PBANKA_092010,CDS46679
